candidate_id,stem,seed,source_row_index,neoplastic_centroid_count,inflammatory_centroid_count,candidate_order,seed_index,config_id,green_sd,controlnet_strength,denoising_steps,spatial_score
candidate_0408,TCGA-A7-A26F_x13312_y15360_TR,742666697,533,49,1,6,6,cfg00_g0_c2_s30,0.0,2.0,30,0.98
candidate_0409,TCGA-BH-A0AW_x38912_y54272_TR,1593158332,534,2,6,2,2,cfg00_g0_c2_s30,0.0,2.0,30,0.7857142857142857
candidate_0410,TCGA-AR-A1AU_x69632_y57344_TL,1951482488,535,78,1,5,5,cfg00_g0_c2_s30,0.0,2.0,30,0.9791666666666666
candidate_0411,TCGA-BH-A18K_x65536_y19456_TL,1663358262,537,30,1,0,0,cfg00_g0_c2_s30,0.0,2.0,30,0.7971014492753623
candidate_0412,TCGA-BH-A0GY_x66560_y40960_TL,300194430,538,14,92,7,7,cfg00_g0_c2_s30,0.0,2.0,30,0.7862068965517242
candidate_0413,TCGA-EW-A423_x69632_y63488_BR,1672116882,539,50,44,6,6,cfg00_g0_c2_s30,0.0,2.0,30,0.7457627118644068
candidate_0414,TCGA-A7-A26J_x5120_y25600_TL,1674236801,540,19,2,12,4,cfg01_gm1_c2_s30,-1.0,2.0,30,0.7636363636363637
candidate_0415,TCGA-AC-A3OD_x20480_y32768_BL,2143760933,542,3,5,4,4,cfg00_g0_c2_s30,0.0,2.0,30,0.75
candidate_0416,TCGA-AR-A1AO_x79872_y23552_BL,1096658985,543,46,7,9,1,cfg01_gm1_c2_s30,-1.0,2.0,30,0.8596491228070176
candidate_0417,TCGA-C8-A1HG_x64512_y33792_TL,1211583357,544,3,21,7,7,cfg00_g0_c2_s30,0.0,2.0,30,0.8703703703703703
candidate_0418,TCGA-AC-A3W5_x98304_y8192_TR,1525296284,545,36,2,14,6,cfg01_gm1_c2_s30,-1.0,2.0,30,0.6307692307692307
candidate_0419,TCGA-AQ-A04H_x6144_y15360_BL,1374408827,546,106,3,1,1,cfg00_g0_c2_s30,0.0,2.0,30,0.8787878787878788
candidate_0420,TCGA-D8-A1JM_x26624_y35840_TL,1799005855,548,85,1,6,6,cfg00_g0_c2_s30,0.0,2.0,30,0.9772727272727272
candidate_0421,TCGA-D8-A1JC_x88064_y41984_BL,2062281205,549,36,30,4,4,cfg00_g0_c2_s30,0.0,2.0,30,0.7777777777777778
candidate_0422,TCGA-BH-A0W3_x64512_y73728_BL,311737337,550,25,22,5,5,cfg00_g0_c2_s30,0.0,2.0,30,0.8487394957983193
candidate_0423,TCGA-EW-A6SC_x43008_y35840_BL,1462434839,551,3,3,3,3,cfg00_g0_c2_s30,0.0,2.0,30,0.8666666666666667
candidate_0424,TCGA-E2-A15K_x20480_y20480_BL,579709304,552,52,20,1,1,cfg00_g0_c2_s30,0.0,2.0,30,0.6548672566371682
candidate_0425,TCGA-D8-A1JS_x49152_y28672_BR,710374123,553,8,2,5,5,cfg00_g0_c2_s30,0.0,2.0,30,0.9130434782608696
candidate_0426,TCGA-A2-A3XW_x46080_y46080_BL,485235330,554,103,1,2,2,cfg00_g0_c2_s30,0.0,2.0,30,0.8559322033898306
candidate_0427,TCGA-AO-A12B_x9216_y7168_BL,1110158927,555,78,9,5,5,cfg00_g0_c2_s30,0.0,2.0,30,0.8835616438356164
candidate_0428,TCGA-C8-A26W_x63488_y58368_TL,1580147267,557,7,11,7,7,cfg00_g0_c2_s30,0.0,2.0,30,0.8082191780821918
candidate_0429,TCGA-A2-A04X_x72704_y62464_TL,66897106,559,80,6,3,3,cfg00_g0_c2_s30,0.0,2.0,30,0.8484848484848485
candidate_0430,TCGA-OL-A5RX_x72704_y13312_BR,273631569,560,4,16,15,7,cfg01_gm1_c2_s30,-1.0,2.0,30,0.8620689655172413
candidate_0431,TCGA-5T-A9QA_x47104_y39936_BR,1008910069,563,44,1,4,4,cfg00_g0_c2_s30,0.0,2.0,30,0.8775510204081632
candidate_0432,TCGA-BH-A1FG_x30720_y43008_BL,152392746,564,50,1,3,3,cfg00_g0_c2_s30,0.0,2.0,30,0.918032786885246
candidate_0433,TCGA-BH-A0BR_x74752_y44032_BL,678746562,565,22,9,12,4,cfg01_gm1_c2_s30,-1.0,2.0,30,0.79
candidate_0434,TCGA-C8-A26X_x23552_y18432_BL,2031390005,566,45,25,0,0,cfg00_g0_c2_s30,0.0,2.0,30,0.7021276595744681
candidate_0435,TCGA-D8-A1X8_x67584_y68608_TR,1771643375,567,13,1,6,6,cfg00_g0_c2_s30,0.0,2.0,30,0.8076923076923077
candidate_0436,TCGA-EW-A2FV_x41984_y55296_BL,809770659,568,3,3,4,4,cfg00_g0_c2_s30,0.0,2.0,30,0.8163265306122449
candidate_0437,TCGA-GM-A2DB_x38912_y15360_TL,743383544,569,28,12,3,3,cfg00_g0_c2_s30,0.0,2.0,30,0.8852459016393442
candidate_0438,TCGA-AR-A0TR_x31744_y50176_TL,2119036925,570,66,7,3,3,cfg00_g0_c2_s30,0.0,2.0,30,0.8842975206611571
candidate_0439,TCGA-E2-A572_x35840_y26624_BR,280729215,571,9,6,15,7,cfg01_gm1_c2_s30,-1.0,2.0,30,0.8679245283018868
candidate_0440,TCGA-B6-A0RT_x64512_y31744_TR,1213943993,573,76,4,3,3,cfg00_g0_c2_s30,0.0,2.0,30,0.9302325581395348
candidate_0441,TCGA-D8-A27G_x23552_y39936_BR,691753511,574,50,1,2,2,cfg00_g0_c2_s30,0.0,2.0,30,0.7368421052631579
candidate_0442,TCGA-E2-A1LS_x39936_y36864_BR,935154595,575,40,7,7,7,cfg00_g0_c2_s30,0.0,2.0,30,0.864406779661017
